state_abbr,county_clean,MonthlyCharge,Tenure,Churn_Flag,InternetService
NE,BUFFALO,160.00128,12.07970325,1,Fiber Optic
WV,MCDOWELL,129.962093,13.98666226,0,DSL
TX,BRAZORIA,114.950905,9.563362997,1,DSL
CA,SANTA BARBARA,142.515576,6.732948946,0,
WI,RACINE,220.14775,15.72071086,1,
GA,DODGE,124.97808,7.233605493,0,Fiber Optic
OK,MUSKOGEE,164.964681,2.871017037,0,DSL
IL,TAZEWELL,194.976769,2.344875382,0,Fiber Optic
PA,LUZERNE,152.455519,7.960490246,1,DSL
AZ,APACHE,92.5018,12.25062113,0,
NC,HERTFORD,127.488728,9.634946079,0,
CA,CALAVERAS,184.963371,7.916533093,0,DSL
IL,COOK,265.146969,4.471254161,1,Fiber Optic
MO,VERNON,207.609354,10.79028074,1,Fiber Optic
TX,LUBBOCK,152.462354,12.24190682,0,DSL
WY,CAMPBELL,200.132293,2.203859443,1,DSL
OR,DOUGLAS,212.655686,23.92132231,1,
OH,CUYAHOGA,255.119794,3.7311787,1,DSL
OH,HARRISON,134.950905,7.980015371,0,Fiber Optic
MT,SHERIDAN,255.137219,9.190009376,1,Fiber Optic
CA,SAN DIEGO,214.966286,2.378630018,1,Fiber Optic
CA,LOS ANGELES,270.160419,5.43464555,1,DSL
VA,FAUQUIER,200.165175,1.092361222,1,
KY,WARREN,149.937833,20.13981517,0,DSL
IL,MORGAN,240.114868,24.64873861,1,Fiber Optic
MN,MORRISON,127.495766,9.677739656,0,Fiber Optic
FL,ORANGE,187.609354,9.82814183,1,DSL
PA,WASHINGTON,169.992756,7.832238337,0,Fiber Optic
MI,DICKINSON,192.456745,19.45250317,0,Fiber Optic
KY,HART,120.004928,14.34766616,0,DSL
KS,SALINE,195.006206,2.257358355,0,Fiber Optic
VA,FAIRFAX,139.95684,2.358129018,0,Fiber Optic
PA,HUNTINGDON,114.983787,4.650578623,0,
IL,COOK,207.638588,3.721772616,1,
CT,NEW HAVEN,187.609354,3.76663012,1,DSL
CA,LASSEN,134.950905,4.151256695,0,Fiber Optic
NC,GUILFORD,192.470522,2.188918771,1,Fiber Optic
MA,BRISTOL,222.628057,13.85488928,1,DSL
MI,HILLSDALE,162.468917,3.273341151,0,Fiber Optic
LA,CADDO,159.979358,19.75096265,1,DSL
FL,PASCO,184.979684,18.38404445,0,DSL
TX,DALLAS,245.145743,4.672610857,1,Fiber Optic
IL,IROQUOIS,124.97808,6.796299371,0,Fiber Optic
IL,IROQUOIS,187.484705,12.97632235,1,Fiber Optic
NC,CUMBERLAND,162.500692,20.31163945,0,Fiber Optic
ND,MOUNTRAIL,182.467607,6.998814446,0,Fiber Optic
AL,SHELBY,222.660939,14.46288204,1,
KY,MCLEAN,182.467607,11.13472066,0,Fiber Optic
NY,QUEENS,220.161527,2.542296644,1,
WV,UPSHUR,169.937833,17.22596021,0,Fiber Optic
MO,CASS,204.963371,22.79214163,1,Fiber Optic
NE,SAUNDERS,204.963371,3.823689744,1,Fiber Optic
NY,WESTCHESTER,245.128318,10.77094687,1,DSL
IN,ORANGE,172.473314,13.08671185,1,
TX,NOLAN,172.456745,14.76468813,1,DSL
AL,JACKSON,194.976769,9.473091121,1,Fiber Optic
VA,FAIRFAX,137.439154,5.197446331,0,Fiber Optic
MN,ST LOUIS,192.470522,6.577552683,1,Fiber Optic
WI,BARRON,159.951231,3.174571918,1,Fiber Optic
MA,HAMPSHIRE,112.455141,17.88002366,0,Fiber Optic
NY,ALLEGANY,174.961766,13.12190056,1,Fiber Optic
VA,FRANKLIN,162.452604,23.34617699,0,Fiber Optic
KY,MONTGOMERY,137.483594,6.311709178,0,DSL
NE,SEWARD,275.133571,12.58298231,0,Fiber Optic
NY,SCHUYLER,127.442069,7.120096363,1,DSL
SC,MCCORMICK,210.138,9.344886869,1,
CA,LOS ANGELES,147.456419,22.37815032,0,DSL
IA,LINN,242.657291,4.799514433,1,
PA,BUTLER,114.983787,10.04672315,0,
FL,LEE,187.656013,8.156552837,0,
OH,TRUMBULL,149.991327,7.992791229,0,
FL,PASCO,124.960655,7.231032028,0,DSL
PA,LYCOMING,220.161527,4.627672042,1,
CT,TOLLAND,172.48852,10.05306287,0,DSL
IL,OGLE,120.004928,4.171044392,0,DSL
IL,KANKAKEE,220.161527,4.568682641,1,
OH,TUSCARAWAS,139.965008,6.085030507,1,DSL
AL,CALHOUN,159.951231,2.730250735,0,Fiber Optic
NH,HILLSBOROUGH,184.949594,8.574901206,1,DSL
NY,OSWEGO,252.637807,9.743201772,1,Fiber Optic
MN,OTTER TAIL,112.455141,9.482919033,0,Fiber Optic
DE,KENT,179.979358,8.447988841,0,Fiber Optic
NC,NORTHAMPTON,202.443347,6.365998533,0,Fiber Optic
TX,CAMP,197.472533,7.251397592,0,DSL
OK,CUSTER,255.155493,14.64011644,1,Fiber Optic
KY,LESLIE,174.976769,11.71637124,1,DSL
IL,DEKALB,169.992756,4.13273503,0,Fiber Optic
TX,VICTORIA,192.440432,2.887429547,1,Fiber Optic
NJ,SUSSEX,182.460772,3.303030246,0,Fiber Optic
TX,NOLAN,139.965008,5.15825129,0,DSL
MN,RAMSEY,137.461553,3.237560234,1,
NJ,HUNTERDON,217.472533,2.733109234,1,Fiber Optic
MN,BROWN,210.138,3.180102025,1,
NY,ORANGE,104.964303,15.85983755,0,DSL
PA,WASHINGTON,262.610632,11.73724209,1,Fiber Optic
NY,JEFFERSON,152.488401,7.006240694,1,
OR,DOUGLAS,174.974431,5.562130367,1,DSL
CA,LOS ANGELES,220.118516,14.53027663,0,Fiber Optic
CT,HARTFORD,162.452604,5.905906389,0,Fiber Optic
LA,CONCORDIA,184.961033,3.260462654,1,DSL
MS,JASPER,217.483972,18.91276578,0,Fiber Optic
CA,SAN BERNARDINO,220.118516,14.25617986,0,Fiber Optic
IL,COOK,187.642236,7.983887266,1,
TX,GALVESTON,174.961766,5.969967132,0,Fiber Optic
KY,MONTGOMERY,252.637807,19.95277818,1,Fiber Optic
NY,SUFFOLK,130.024412,14.85781115,0,
IL,DEKALB,162.482694,2.600063739,1,Fiber Optic
MN,FREEBORN,182.467607,11.92299244,1,Fiber Optic
WY,LINCOLN,139.934918,5.972864167,0,DSL
OH,LUCAS,200.165175,10.87555535,1,
ID,BLAINE,202.682861,16.00330155,1,
ND,TRAILL,159.951231,12.63074989,0,Fiber Optic
AL,COFFEE,149.948316,8.4944392,0,Fiber Optic
VA,ORANGE,149.959755,8.044444101,1,Fiber Optic
SC,GREENVILLE,137.469817,12.07358377,0,DSL
NY,TIOGA,187.656013,10.21634248,1,
OK,LINCOLN,164.985293,15.50354683,1,DSL
NY,NASSAU,159.965008,13.88004531,1,Fiber Optic
IA,WRIGHT,172.462354,19.48900163,0,Fiber Optic
LA,RAPIDES,204.949594,10.01771765,1,Fiber Optic
TX,ZAPATA,147.473844,7.34059599,0,Fiber Optic
CA,LOS ANGELES,162.471255,12.64742067,1,Fiber Optic
AL,BALDWIN,119.95684,8.850426839,0,DSL
ND,STARK,207.609354,3.701557118,1,Fiber Optic
MN,CROW WING,194.999168,2.976033785,0,
MA,WORCESTER,174.975543,5.522376826,0,Fiber Optic
NC,PERSON,240.114868,15.64596698,1,Fiber Optic
IN,CLARK,240.114868,23.00764441,1,Fiber Optic
KY,HARLAN,139.983006,17.24924155,0,DSL
NM,TAOS,240.114868,13.01107597,1,Fiber Optic
NY,MADISON,209.993134,5.104082209,1,DSL
MI,IONIA,147.456419,3.521499924,0,DSL
TX,PANOLA,107.495766,8.08137067,0,DSL
PA,SCHUYLKILL,152.502178,1.875430489,1,
NY,STEUBEN,79.978861,5.587484456,0,
OH,TUSCARAWAS,142.482694,7.007695148,0,DSL
GA,BERRIEN,117.439154,1.408375942,0,DSL
KS,MCPHERSON,220.132293,11.64983735,1,Fiber Optic
KY,GREENUP,152.455519,2.964559883,1,DSL
TX,LAMB,174.961766,10.25635754,0,Fiber Optic
WI,VILAS,202.443347,3.892407013,1,Fiber Optic
WV,CABELL,210.12704,3.226996711,1,Fiber Optic
MN,PINE,139.979239,15.87685513,0,
OH,KNOX,139.965008,5.874064017,0,DSL
WA,OKANOGAN,137.439154,3.756359276,0,Fiber Optic
ME,WASHINGTON,102.474625,2.905283283,0,
MN,BIG STONE,252.637807,1.474810061,1,Fiber Optic
VA,ALBEMARLE,194.999168,18.56165869,1,
NM,DONA ANA,242.610632,12.39088509,1,DSL
IL,COOK,127.458638,14.17192333,0,
KS,MARION,129.976324,3.86023041,0,
MN,MEEKER,240.114868,17.72593456,1,Fiber Optic
MI,SHIAWASSEE,174.975543,3.043063167,0,Fiber Optic
MD,CECIL,169.944668,5.827112819,0,Fiber Optic
OH,HURON,162.511928,4.648958177,1,
NY,WESTCHESTER,119.95684,11.96274778,0,DSL
WI,BURNETT,137.439154,4.525864256,0,Fiber Optic
VA,MADISON,207.46728,8.038308899,0,Fiber Optic
CA,SANTA CLARA,149.974105,1.416592892,0,DSL
WY,LINCOLN,225.178625,19.83504645,0,
MA,HAMPDEN,232.637807,15.85002222,1,DSL
NM,VALENCIA,117.472036,15.94935291,0,
TX,PECOS,137.469817,11.94550648,0,DSL
FL,PINELLAS,220.132293,16.03360405,0,Fiber Optic
OH,ASHLAND,124.960655,21.29342532,0,DSL
TX,ROBERTSON,199.990219,4.95598008,0,DSL
NC,CRAVEN,159.947583,2.73951266,1,DSL
MI,WAYNE,245.145743,4.973046104,1,Fiber Optic
IN,PARKE,255.155493,10.28430068,1,Fiber Optic
FL,BROWARD,134.950905,2.581692044,0,Fiber Optic
AR,POLK,159.947583,6.945736396,1,DSL
KY,KNOTT,139.987503,9.999416271,0,DSL
LA,GRANT,179.947583,6.035737465,1,Fiber Optic
PA,FAYETTE,127.473844,9.004964377,0,DSL
OH,PICKAWAY,232.637807,5.071456681,1,DSL
IN,JASPER,195.006206,12.02106494,1,Fiber Optic
VA,FAIRFAX,267.642733,5.049303717,1,DSL
FL,BROWARD,149.959755,18.17247008,0,Fiber Optic
IA,STORY,220.114868,15.31997698,1,DSL
MN,ST LOUIS,157.483594,16.0708543,0,Fiber Optic
OK,LOVE,127.474951,7.873371451,0,
IA,WAYNE,139.981577,23.62866494,0,
NJ,MORRIS,255.133571,25.8634566,1,DSL
MN,RICE,194.966286,9.405224809,1,DSL
SD,BEADLE,179.965581,12.84490034,0,Fiber Optic
IA,POCAHONTAS,174.976769,16.59325254,1,DSL
IL,COOK,187.609354,20.35456039,0,DSL
TX,HARRIS,169.937833,12.00925702,0,Fiber Optic
CA,KERN,115.002061,2.861423443,0,
NM,LEA,152.462354,14.20349453,1,DSL
NY,COLUMBIA,207.609354,4.98152586,1,Fiber Optic
MO,POLK,147.503078,23.12150846,0,
MS,SCOTT,200.118516,6.307178205,0,DSL
PA,FOREST,137.497825,12.73622643,0,
ND,CASS,134.980139,12.00466914,0,
AL,RANDOLPH,147.442069,2.243757398,0,Fiber Optic
AZ,APACHE,197.494455,1.583394702,0,Fiber Optic
PA,PHILADELPHIA,162.529926,14.23487852,0,
PA,FRANKLIN,210.151777,15.28108311,1,
MI,ALCONA,159.965581,4.135827839,1,DSL
WA,SKAGIT,190.173699,9.740709475,1,
MO,REYNOLDS,202.649979,1.213704886,1,DSL
NC,FORSYTH,134.950905,11.86252419,0,Fiber Optic
OH,FRANKLIN,142.500692,2.416685985,0,DSL
MO,NODAWAY,114.997564,6.73327535,0,
GA,DEKALB,232.62403,6.549035393,1,DSL
NY,NASSAU,242.628057,10.57197066,1,Fiber Optic
CO,JACKSON,202.443347,3.379756569,1,Fiber Optic
PA,DAUPHIN,124.993537,8.959047529,0,
NC,CUMBERLAND,174.976769,10.23679934,0,DSL
IL,JEFFERSON,225.145743,14.96503088,1,DSL
TN,MORGAN,275.133571,23.79323993,1,Fiber Optic
CA,SAN LUIS OBISPO,287.642733,11.45675389,1,Fiber Optic
VA,FAUQUIER,177.65076,11.04076215,1,
DC,DISTRICT OF COLUMBIA,220.114868,7.425503428,1,DSL
KS,BARBER,197.516854,2.411712843,1,
FL,BAY,194.974431,2.009542213,0,Fiber Optic
IN,WELLS,175.133074,9.068119482,1,
OR,LANE,147.478341,1.926789854,1,Fiber Optic
NE,FRANKLIN,134.980139,11.77389421,0,
WV,MARION,157.483594,2.585228303,0,Fiber Optic
TX,TRAVIS,255.141716,9.517703088,0,Fiber Optic
FL,SARASOTA,137.439154,9.532523799,0,Fiber Optic
CA,SAN MATEO,235.159141,23.103996,0,Fiber Optic
MN,FREEBORN,147.460067,5.104873611,1,Fiber Optic
TX,MCLENNAN,232.637807,6.877942744,1,DSL
MA,SUFFOLK,137.439154,21.17839683,1,Fiber Optic
WA,SNOHOMISH,129.948316,1.586331702,0,DSL
KS,RUSSELL,242.632554,3.778174405,1,Fiber Optic
KY,WHITLEY,187.609354,11.58276897,1,DSL
WV,LOGAN,232.652038,11.62258922,1,
GA,LOWNDES,159.980465,20.78013031,0,
HI,HONOLULU,159.947583,3.940297464,1,DSL
WV,PRESTON,137.487242,11.38099891,0,Fiber Optic
VA,FAIRFAX,245.131966,1.473304337,1,Fiber Optic
MN,REDWOOD,117.439154,12.75609778,0,DSL
MD,ST MARYS,209.993134,6.253919786,1,DSL
MD,MONTGOMERY,169.974105,18.9537053,0,Fiber Optic
AL,ETOWAH,197.470195,9.640061615,0,DSL
PA,FRANKLIN,137.516476,5.201330266,1,
OH,SUMMIT,207.475448,12.42120946,1,DSL
CO,MOFFAT,160.00128,8.134438503,0,Fiber Optic
FL,MADISON,147.478341,14.86764776,0,Fiber Optic
MO,TANEY,127.488728,5.548652108,0,
HI,HAWAII,139.981577,18.35541838,0,
OK,LOGAN,220.132293,7.62779591,1,Fiber Optic
NY,MONROE,214.952509,4.439685675,0,Fiber Optic
CO,GUNNISON,139.99789,11.16903388,0,
PA,HUNTINGDON,270.160419,14.14101821,1,DSL
NM,CATRON,202.443347,3.212400569,1,Fiber Optic
NY,ERIE,172.47417,16.84928353,0,Fiber Optic
GA,FULTON,137.468388,3.834727471,1,
UT,BOX ELDER,104.962874,6.198230305,0,
NJ,GLOUCESTER,174.969934,4.216732972,0,DSL
IN,BENTON,139.99789,4.355064781,0,
MO,COOPER,144.988941,4.030250374,0,DSL
CA,SACRAMENTO,114.997564,9.915959247,0,
NC,GUILFORD,172.484753,9.821728297,1,
MI,MASON,124.97808,9.183905417,0,Fiber Optic
NH,MERRIMACK,174.991856,8.892893007,0,Fiber Optic
CA,LOS ANGELES,92.488023,7.661226872,0,
CO,WELD,139.965008,12.4767812,0,DSL
NJ,CUMBERLAND,192.470522,2.462148717,1,Fiber Optic
VA,PATRICK,220.118516,14.09942339,1,Fiber Optic
VA,MECKLENBURG,232.622804,7.272649386,1,Fiber Optic
CA,SAN BERNARDINO,210.156274,3.999030359,0,
VA,SCOTT,114.972827,3.115945151,0,Fiber Optic
AL,MOBILE,149.977753,13.67931764,0,Fiber Optic
NY,ALLEGANY,184.985293,14.6728104,1,Fiber Optic
AL,BALDWIN,132.479779,5.953547112,0,DSL
NY,WYOMING,190.12704,11.74635394,1,DSL
MS,YAZOO,92.488023,5.954024226,0,
NE,SHERMAN,220.114868,22.8577804,1,DSL
IN,MARION,107.495766,1.407866545,1,DSL
WY,TETON,169.967067,21.08265979,0,
TN,BLOUNT,222.679213,11.10356439,1,
NE,BOYD,200.132293,9.734064703,1,DSL
CA,CALAVERAS,262.610632,12.21754865,1,Fiber Optic
KS,HARVEY,152.495236,2.423722078,1,
PA,LACKAWANNA,202.636202,13.66061487,0,DSL
ID,LEMHI,127.478341,8.701581043,0,DSL
MO,WASHINGTON,159.983006,4.844060027,0,Fiber Optic
KS,NEMAHA,124.960655,6.485034974,1,DSL
NY,OTSEGO,252.62403,1.14113241,1,Fiber Optic
CA,LOS ANGELES,104.97808,7.69213424,0,DSL
IL,PIATT,204.961033,13.73012915,1,Fiber Optic
MD,CALVERT,245.145743,5.690013293,1,Fiber Optic
MN,HOUSTON,95.019486,6.68894661,0,
MO,IRON,169.937833,9.475983046,0,Fiber Optic
MI,INGHAM,207.475448,4.893221514,1,DSL
WV,WYOMING,114.983787,2.656915117,0,
GA,OGLETHORPE,232.637807,8.381515693,1,DSL
AR,CONWAY,225.131966,14.53315436,0,DSL
TX,MONTAGUE,212.641455,13.62832619,1,DSL
KS,CLOUD,152.495236,1.281566108,1,
NY,GREENE,134.950905,3.365552603,1,Fiber Optic
OH,SUMMIT,200.132293,5.397827503,1,DSL
PA,DELAWARE,197.470195,9.001231999,0,DSL
CT,FAIRFIELD,192.456745,10.9750814,0,Fiber Optic
IA,POLK,162.471255,7.825845378,1,Fiber Optic
OR,BAKER,222.660939,14.12966281,1,
WA,STEVENS,114.950905,14.66914461,0,DSL
NY,NEW YORK,182.446995,5.388165017,1,Fiber Optic
OR,COLUMBIA,95.005709,2.810825808,0,
FL,PALM BEACH,172.456745,2.485229169,1,DSL
HI,KAUAI,177.65076,2.051069457,0,
FL,MIAMI-DADE,207.638588,6.10108047,0,
AR,JEFFERSON,220.118516,4.950398978,1,Fiber Optic
MA,PLYMOUTH,137.468388,10.16660427,0,
DC,DISTRICT OF COLUMBIA,159.965008,12.29558653,1,Fiber Optic
AR,GARLAND,182.465269,24.8868126,0,Fiber Optic
NC,ROBESON,129.977753,9.660361769,0,DSL
NY,HAMILTON,112.484375,7.663625954,1,
NY,OTSEGO,127.488728,5.25445262,0,
MI,ST CLAIR,162.471255,13.59137366,0,Fiber Optic
GA,BERRIEN,154.961766,12.3492819,1,DSL
KY,MARSHALL,194.976769,18.37317391,0,Fiber Optic
MI,BERRIEN,192.48852,8.498042024,0,Fiber Optic
TX,BELL,162.452604,22.33583015,0,Fiber Optic
NC,HYDE,107.48056,1.541545443,0,
WV,POCAHONTAS,142.482694,12.78453216,1,DSL
NC,CURRITUCK,165.018175,2.527681829,1,
MI,HOUGHTON,125.007314,7.065506244,0,
TX,EASTLAND,139.987503,4.258552081,1,DSL
WI,WAUSHARA,112.455141,4.801969514,0,Fiber Optic
WI,KENOSHA,212.622804,5.204853319,1,DSL
NY,WAYNE,182.460772,32.0730133,0,Fiber Optic
NY,ONTARIO,159.947583,11.16847385,1,DSL
WI,PIERCE,245.145743,16.8000196,0,Fiber Optic
VA,AUGUSTA,149.977753,17.6210362,0,Fiber Optic
NY,KINGS,184.967019,17.18829795,1,Fiber Optic
CA,ALAMEDA,92.455141,17.52138221,0,DSL
NJ,HUNTERDON,149.944668,10.4103675,0,DSL
GA,TURNER,167.456419,3.310281145,1,Fiber Optic
AR,SEARCY,197.516854,2.993625911,1,
VT,FRANKLIN,152.488401,16.26037537,1,
GA,STEPHENS,162.482694,3.045064701,1,Fiber Optic
GA,JACKSON,262.610632,15.35762157,1,Fiber Optic
MD,HARFORD,190.173699,5.940902789,1,
VA,TAZEWELL,187.513939,5.988505209,1,
WA,KING,212.641455,7.138784756,1,DSL
MA,DUKES,104.964303,8.951793883,0,DSL
OH,JEFFERSON,232.637807,4.221959275,1,DSL
MI,MACOMB,142.499263,9.797427154,0,
PA,PIKE,277.63748,10.90397471,1,Fiber Optic
CA,LASSEN,112.455141,1.665591776,0,Fiber Optic
OK,HASKELL,220.118516,8.611218573,1,Fiber Optic
MN,HUBBARD,139.951231,1.28507969,1,DSL
PA,DELAWARE,184.978458,1.379696124,0,Fiber Optic
IA,JASPER,210.138,3.084376591,1,
NM,BERNALILLO,142.468917,2.43754565,0,DSL
KY,NELSON,160.00128,3.288124191,0,Fiber Optic
HI,HONOLULU,127.481989,32.30772134,0,Fiber Optic
FL,MONROE,162.452604,13.46565415,0,Fiber Optic
PA,WARREN,172.457857,19.244458,0,Fiber Optic
WI,CLARK,255.155493,8.69085131,0,Fiber Optic
NY,ULSTER,184.979684,3.778575882,1,DSL
VA,ROCKBRIDGE,175.006206,10.27819073,1,DSL
PA,CLEARFIELD,112.455141,4.156887945,0,Fiber Optic
IL,CRAWFORD,194.958118,11.32083915,0,Fiber Optic
LA,JEFFERSON,172.44408,5.254442453,0,Fiber Optic
IA,POLK,200.165175,5.2551003,0,
TX,BELL,127.460067,6.417132666,0,DSL
MT,PARK,147.478341,18.61278731,0,Fiber Optic
VA,KING WILLIAM,207.49737,4.924623699,0,Fiber Optic
AZ,YAVAPAI,169.937833,6.325942162,0,Fiber Optic
NY,BROOME,152.457857,17.22220989,0,DSL
HI,HONOLULU,162.460772,3.238699239,0,DSL
MI,MACOMB,200.132293,6.437878909,1,DSL
TX,SAN JACINTO,182.460772,15.22323989,1,Fiber Optic
MA,BRISTOL,124.97808,7.484425045,0,Fiber Optic
KY,HOPKINS,230.105118,7.218752772,1,Fiber Optic
WA,PIERCE,147.473844,11.69875604,0,Fiber Optic
MN,MCLEOD,142.482694,10.03363969,0,DSL
NY,QUEENS,152.479779,18.46162568,0,Fiber Optic
MO,LINN,105.010962,16.52138638,0,
VA,AUGUSTA,114.965789,13.83290937,0,
VA,HALIFAX,184.978458,5.02568958,1,Fiber Optic
FL,CLAY,134.950905,2.644787483,0,Fiber Optic
ID,LATAH,182.490006,2.522962069,1,
TN,SHELBY,192.470522,3.508974199,1,Fiber Optic
MN,HENNEPIN,149.962093,11.50651216,1,Fiber Optic
SC,RICHLAND,95.019486,10.96319721,0,
IN,RIPLEY,245.174977,5.505247606,1,
MT,VALLEY,169.944668,14.16961729,0,Fiber Optic
NM,EDDY,207.49737,10.27782059,0,Fiber Optic
OR,KLAMATH,245.145743,3.364993591,1,Fiber Optic
SC,SUMTER,127.478341,9.307770559,0,DSL
NY,KINGS,182.467607,1.171557288,1,Fiber Optic
RI,PROVIDENCE,267.642733,7.262579715,1,DSL
AL,COLBERT,104.992311,17.06899012,0,
TX,WILLIAMSON,164.978458,10.8600084,1,DSL
NC,RUTHERFORD,240.114868,16.48065356,1,Fiber Optic
OH,WAYNE,124.960655,10.85041661,0,DSL
TX,UPSHUR,127.442069,4.85576672,1,DSL
PA,SCHUYLKILL,169.992756,1.715329149,0,Fiber Optic
WI,MARQUETTE,169.992756,21.71097206,0,Fiber Optic
NC,PITT,179.979358,3.470685398,0,Fiber Optic
KS,SEDGWICK,134.950905,1.914386255,0,Fiber Optic
CO,DELTA,192.440432,9.16272705,0,Fiber Optic
MI,SHIAWASSEE,172.440432,7.457173484,0,DSL
DE,KENT,212.669463,4.991605214,1,
KS,DICKINSON,175.133074,10.5903229,1,
NY,SUFFOLK,159.965008,14.68216127,0,Fiber Optic
FL,BROWARD,112.484375,5.440398012,0,
ND,RICHLAND,179.965581,11.92300936,0,Fiber Optic
IN,PIKE,252.62403,9.461939857,1,Fiber Optic
MI,ROSCOMMON,95.005709,13.90000955,0,
WA,LINCOLN,240.114868,13.99579075,1,Fiber Optic
FL,HILLSBOROUGH,105.010962,13.44056701,0,
GA,ROCKDALE,182.45383,3.179043613,0,Fiber Optic
MA,MIDDLESEX,149.944668,14.58066686,1,DSL
MO,COLE,144.960655,17.24908083,0,Fiber Optic
NC,CATAWBA,187.609354,2.760467902,1,DSL
TX,BRAZORIA,129.962093,20.04140358,0,DSL
NY,NASSAU,129.976324,8.001673351,0,
MT,VALLEY,192.440432,1.092219692,1,Fiber Optic
MS,SUNFLOWER,172.44408,14.68600159,1,Fiber Optic
KY,BREATHITT,117.485813,4.135515169,0,
SD,MEADE,159.965008,9.086633107,0,Fiber Optic
NC,WILKES,167.484705,9.493585403,1,DSL
OK,ROGERS,129.962093,5.372758028,1,DSL
ME,YORK,139.981577,13.82188875,0,
AZ,MARICOPA,124.97808,2.598489694,0,Fiber Optic
CA,ORANGE,255.137219,12.9401487,1,Fiber Optic
MN,HENNEPIN,230.105118,4.957713222,0,Fiber Optic
TX,HARDIN,182.460772,28.79864005,0,Fiber Optic
ND,RANSOM,255.155493,7.176411327,1,Fiber Optic
AR,SALINE,172.457857,5.709925704,0,Fiber Optic
CA,MARIPOSA,137.483594,3.956375328,0,DSL
WI,POLK,167.456419,1.033067819,1,Fiber Optic
PA,CAMBRIA,127.495766,2.206152519,0,Fiber Optic
MD,DORCHESTER,287.642733,3.820262172,1,Fiber Optic
NY,ORANGE,167.456419,2.640977982,1,Fiber Optic
CA,LOS ANGELES,164.988941,5.622660986,0,Fiber Optic
PA,ALLEGHENY,242.632554,1.634394387,1,Fiber Optic
IL,IROQUOIS,130.006414,2.012075635,1,
AL,LAMAR,257.63748,10.06913982,1,DSL
MT,BEAVERHEAD,129.977753,6.935335786,0,DSL
FL,HERNANDO,232.622804,15.56741347,0,Fiber Optic
NE,ANTELOPE,182.467607,12.75071284,0,Fiber Optic
WI,SHAWANO,220.132293,8.573785357,1,Fiber Optic
