,Unnamed: 0,CaseOrder,Customer_id,Interaction,City,State,County,Zip,Lat,Lng,Population,Area,Timezone,Job,Children,Age,Education,Employment,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,item1,item2,item3,item4,item5,item6,item7,item8
10,11,11,j980369,89490f4b-765f-431a-b302-580aae7db71a,little meadows,pa,susquehanna,18830,41.95142,-76.10744,555,urban,america/new_york,"teacher, special educational needs",7.0,23.0,regular high school diploma,full time,33186.785,separated,female,no,11.83511269,9,0,2,no,month-to-month,no,no,dsl,yes,yes,yes,yes,no,no,yes,no,no,mailed check,19.26726194,177.451599,2728.767869,4,4,4,7,3,3,3,4
11,12,12,e243720,c32b8522-d62a-49b1-a77a-e0534cb1378b,corozal,pr,corozal,783,18.3041,-66.32847,33372,rural,america/puerto_rico,maintenance engineer,2.0,56.0,bachelor's degree,full time,18342.12,married,female,no,5.08282075,17,1,1,no,month-to-month,yes,no,fiber optic,yes,no,no,no,yes,no,yes,no,no,electronic check,36.19603,148.3640874,1180.588788,4,4,3,4,4,4,3,4
12,13,13,f139569,4828f66e-5592-4c61-bbf4-313cf8731f1c,conesville,ia,muscatine,52739,41.37287,-91.36865,556,rural,america/chicago,"engineer, broadcasting (operations)",0.0,83.0,master's degree,retired,83671.08,divorced,male,no,7.265960814,9,0,0,no,month-to-month,yes,no,fiber optic,yes,no,no,no,no,no,yes,no,no,bank transfer(automatic),13.01149229,136.4312394,1196.388018,1,2,1,4,3,2,3,3
13,14,14,x44200,780992d3-d758-4152-aceb-5d59edda3d15,east livermore,me,androscoggin,4228,44.43256,-70.11501,0,urban,america/new_york,learning disability nurse,5.0,53.0,no schooling completed,retired,115114.57,separated,female,no,6.568343834,14,1,0,no,two year,yes,yes,fiber optic,yes,yes,yes,no,no,yes,yes,no,yes,bank transfer(automatic),16.87922024,185.6592942,1948.694497,5,6,5,2,4,5,4,4
14,15,15,h68068,8dc7ad15-2f59-4c77-9640-6f2c0000b3fc,hillside,il,cook,60162,41.86752,-87.90222,8165,urban,america/chicago,automotive engineer,1.0,30.0,associate's degree,full time,64256.81,separated,male,yes,12.63069124,10,3,0,no,month-to-month,no,no,dsl,no,yes,no,yes,no,yes,no,no,yes,bank transfer(automatic),10.06019902,160.8055418,3382.424,3,3,4,2,3,4,4,2
15,16,16,a403906,df437bd4-bd8a-4c8f-8110-11ed1a7723ea,saint germain,wi,vilas,54558,45.92342,-89.50138,2093,suburban,america/chicago,amenity horticulturist,1.0,39.0,bachelor's degree,full time,89061.45,divorced,male,yes,9.48221912,13,1,0,no,one year,no,no,nan,yes,no,yes,no,no,no,yes,yes,yes,electronic check,13.87001293,176.3345094,1840.014467,3,3,3,2,4,3,5,2
16,17,17,v847470,bbf5ca9f-cb89-44ea-ac42-3f5862ebdbd0,modesto,ca,stanislaus,95351,37.62326,-120.99637,50079,urban,america/los_angeles,applications developer,1.0,63.0,"some college, 1 or more years, no degree",retired,31659.3,married,female,yes,14.42916512,13,1,0,no,month-to-month,yes,no,dsl,yes,yes,no,yes,yes,no,no,yes,yes,bank transfer(automatic),15.78214958,195.8726039,2070.376729,3,4,4,3,5,4,4,3
17,18,18,f721878,5c3548de-4744-4167-9412-3f018262bab2,parkton,nc,robeson,28371,34.90636,-78.98944,7249,rural,america/new_york,immunologist,1.0,60.0,"9th grade to 12th grade, no diploma",retired,44142.81,separated,male,yes,10.21790303,16,3,0,no,two year,no,no,nan,yes,no,yes,no,yes,yes,yes,yes,no,mailed check,36.19603,203.0695973,882.0985933,2,2,4,3,3,4,3,3
18,19,19,f487435,200fad69-1e40-4de6-9222-df84d8925000,oakland,tn,fayette,38060,35.2091,-89.50332,9463,rural,america/chicago,"engineer, electrical",3.0,61.0,regular high school diploma,full time,39262.14,widowed,female,no,11.10106846,11,1,0,yes,two year,yes,no,nan,yes,no,no,yes,yes,yes,yes,no,yes,bank transfer(automatic),17.10995632,154.0171018,1833.0967,3,4,3,4,3,2,3,5
19,20,20,b561228,5ff2d3a8-6e9f-4bfa-af2b-04e5cdc0a1e0,trafford,al,blount,35172,33.84469,-86.6974,3177,rural,america/chicago,broadcast presenter,3.0,23.0,associate's degree,part time,19494.75,divorced,male,yes,11.08853215,10,1,0,no,month-to-month,yes,no,dsl,yes,yes,no,no,no,no,yes,no,yes,credit card (automatic),12.80615845,150.1107392,1954.080809,5,5,5,4,4,4,3,3
20,21,21,x325271,ebf7fbd7-9f65-48d8-8f82-b7b7fd4f3412,kaneville,il,kane,60144,41.83594,-88.5206,69,rural,america/chicago,counsellor,4.0,53.0,nursery school to 8th grade,retired,39624.21,never married,male,no,12.18669792,14,0,3,no,month-to-month,no,no,fiber optic,yes,no,yes,yes,yes,no,no,yes,yes,bank transfer(automatic),20.45390977,185.096264,2330.319383,2,3,3,2,4,2,3,3
21,22,22,i282896,69fbc82f-1ea2-47a2-a056-d6f8d428b687,columbus,oh,franklin,43215,39.96636,-83.01286,14440,suburban,america/new_york,geophysical data processor,3.0,30.0,regular high school diploma,retired,33186.785,divorced,male,no,6.520830558,18,1,0,no,two year,no,yes,fiber optic,yes,no,yes,no,yes,no,no,no,no,bank transfer(automatic),2.415991977,127.0317766,594.1054279,5,5,4,4,3,4,3,5
22,23,23,i367206,1937a759-91b7-4390-80f1-6f8e7d81e058,mallard,ia,palo alto,50562,42.96153,-94.64179,381,urban,america/chicago,"designer, multimedia",1.0,52.0,"9th grade to 12th grade, no diploma",full time,27442.03,widowed,male,no,9.970974396,16,1,1,no,month-to-month,no,no,fiber optic,yes,no,no,no,no,yes,no,no,yes,electronic check,6.652298992,125.5623018,713.0633088,3,3,3,2,2,3,5,5
23,24,24,n37182,ab3bfaf3-94f1-4a14-b577-0e57178a7645,baileyville,me,washington,4694,45.10333,-67.47223,2193,urban,america/new_york,event organiser,2.0,68.0,bachelor's degree,full time,79699.62,divorced,male,no,7.490198816,9,0,0,no,one year,yes,no,fiber optic,yes,no,no,no,no,yes,yes,no,yes,electronic check,8.543717478,150.3295122,945.3802928,4,4,3,5,3,4,4,3
24,25,25,u644626,30a2f575-54cc-4894-96b8-358317896f43,williamsburg,oh,clermont,45176,39.08339,-84.02314,9434,rural,america/new_york,equality and diversity officer,3.0,75.0,regular high school diploma,full time,28520.32,widowed,female,yes,14.54825704,15,1,0,no,month-to-month,no,yes,nan,yes,yes,yes,no,yes,no,no,yes,no,credit card (automatic),5.770390256,163.3124055,870.76398,3,3,4,2,4,4,3,4
25,26,26,a766555,44c6b2bd-74ee-4c80-9b9f-67b544d1e06a,saint augustine,fl,st. johns,32086,29.75675,-81.30311,29568,suburban,america/new_york,counsellor,1.0,77.0,ged or alternative credential,full time,12558.83,separated,male,yes,11.37952059,12,1,0,no,month-to-month,no,yes,dsl,yes,no,no,no,no,no,no,no,no,bank transfer(automatic),4.157658837,94.06699355,774.2937069,4,4,4,4,2,4,5,5
26,27,27,v54032,eba9d80f-e4e6-4905-81ab-5f5f2a49cc88,tohatchi,nm,mckinley,87325,36.00209,-108.62285,3089,rural,america/denver,psychiatrist,1.0,47.0,bachelor's degree,retired,8762.23,married,female,yes,16.1723942,15,0,1,no,month-to-month,yes,no,fiber optic,yes,no,yes,no,yes,no,yes,yes,no,mailed check,10.40566091,222.9597637,1506.446527,5,3,5,3,3,5,4,4
27,28,28,z301326,f4ba5aef-80af-43fe-a8cb-0592f3013d6b,erie,mi,monroe,48133,41.7812,-83.48594,5652,urban,america/detroit,"surveyor, commercial/residential",1.0,70.0,master's degree,part time,43882.72,widowed,female,yes,15.8467065,12,0,0,no,month-to-month,yes,no,nan,yes,no,no,yes,yes,no,yes,no,yes,electronic check,1.392421597,141.092117,419.0508708,2,2,3,4,4,2,2,2
28,29,29,j887250,a49a3cbf-182c-49f5-b15f-e124582d2c8f,moretown,vt,washington,5660,44.24718,-72.74137,1716,urban,america/new_york,civil service administrator,3.0,53.0,regular high school diploma,full time,33186.785,separated,female,yes,43.92705189,13,2,0,yes,one year,no,no,dsl,yes,no,no,no,yes,no,yes,yes,no,bank transfer(automatic),36.19603,230.6237646,1259.415493,3,4,3,3,2,4,4,2
29,30,30,z686376,cddc4b08-7aae-4194-a75c-28bbcc8257f3,silver spring,md,montgomery,20902,39.04373,-77.04224,52484,suburban,america/new_york,"radiographer, diagnostic",4.0,69.0,bachelor's degree,student,33186.785,never married,male,yes,12.35437248,18,1,0,no,two year,no,yes,dsl,yes,yes,yes,yes,yes,no,yes,yes,yes,credit card (automatic),5.425864884,259.3879183,1745.125956,4,4,4,3,2,5,5,4
30,31,31,l357432,79b827eb-46b9-4737-8484-0b670171bc4b,whitesboro,ny,oneida,13492,43.11988,-75.32875,11268,urban,america/new_york,air traffic controller,9.0,45.0,no schooling completed,part time,43383.54,married,male,no,7.472844182,14,0,0,no,two year,yes,no,fiber optic,no,no,no,yes,no,no,yes,yes,yes,credit card (automatic),11.08287797,230.9648914,1795.465729,3,2,1,5,3,3,3,2
31,32,32,v899967,5cffec4f-2316-4f97-b0d6-106888164492,sherwood,oh,defiance,43556,41.30608,-84.56989,1765,rural,america/new_york,dietitian,1.0,40.0,"9th grade to 12th grade, no diploma",unemployed,21793.88,never married,female,no,4.776157747,13,2,0,no,two year,no,yes,nan,yes,yes,no,yes,no,no,no,no,no,electronic check,36.19603,147.8152871,492.4771472,2,3,4,3,3,2,4,3
32,33,33,g571225,c7c6fcb5-eb79-438e-bf66-179ac491274e,pe ell,wa,lewis,98572,46.5512,-123.32437,680,rural,america/los_angeles,"therapist, occupational",6.0,82.0,ged or alternative credential,retired,51960.51,divorced,female,yes,8.913416857,9,0,0,no,month-to-month,yes,yes,fiber optic,yes,no,no,yes,no,no,yes,yes,yes,electronic check,4.727388465,230.2438882,1013.993166,4,4,4,5,2,5,3,5
33,34,34,s381541,a81aaffc-186f-46d1-8378-ad11bcedde9c,seney,mi,schoolcraft,49883,46.43517,-86.01334,136,rural,america/detroit,building services engineer,5.0,53.0,regular high school diploma,full time,33186.785,separated,male,yes,11.99819427,8,1,1,no,month-to-month,no,no,dsl,yes,yes,yes,yes,no,no,yes,no,no,electronic check,20.89923386,175.8247451,3382.424,5,5,4,3,5,3,4,1
34,35,35,r195593,fd1b0111-3d91-460d-b26b-d52008c383f8,chatsworth,il,livingston,60921,40.73772,-88.28785,1517,urban,america/chicago,information officer,1.0,53.0,bachelor's degree,full time,11211.59,widowed,male,yes,5.312361826,15,1,0,no,one year,yes,no,fiber optic,yes,yes,yes,no,yes,yes,yes,yes,no,mailed check,3.471329958,267.4362279,1081.814362,6,5,5,5,2,6,5,5
35,36,36,i327596,c329889a-43ac-4d20-98f3-50d1c4c527fb,albion,mi,calhoun,49224,42.28109,-84.75184,14103,suburban,america/detroit,outdoor activities/education manager,1.0,52.0,"9th grade to 12th grade, no diploma",full time,8283.29,never married,male,yes,13.92937482,11,0,1,no,month-to-month,yes,no,dsl,yes,yes,yes,yes,no,yes,no,no,yes,mailed check,5.478588204,162.6090148,1209.961168,4,2,3,4,3,3,4,3
36,37,37,u790894,01fa4db5-6be5-47de-a3ac-53b95e5c44a8,marlborough,ct,hartford,6447,41.63306,-72.45472,6394,suburban,america/new_york,market researcher,2.0,26.0,regular high school diploma,full time,10114.81,never married,female,yes,44.72520233,16,1,1,no,month-to-month,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,no,yes,yes,credit card (automatic),3.312991809,258.4081654,897.5919144,4,3,5,5,2,4,5,5
37,38,38,o739489,1659c53c-7045-445c-a222-08c53851aac1,lafayette,nj,sussex,7848,41.10336,-74.68407,5059,urban,america/new_york,"surveyor, insurance",1.0,25.0,bachelor's degree,full time,33186.785,never married,female,no,8.15350077,9,2,0,no,one year,yes,yes,dsl,yes,yes,yes,no,yes,no,no,no,yes,electronic check,7.161561527,138.7077155,1340.930156,5,6,4,2,5,3,3,3
38,39,39,i958127,9d8f0590-1da6-4b6f-ab72-ef78c8aaac24,washington,dc,district of columbia,20017,38.93845,-76.99317,20450,suburban,america/new_york,office manager,1.0,66.0,"some college, less than 1 year",full time,25397.44,divorced,female,no,17.68357553,12,1,0,no,two year,yes,no,fiber optic,yes,no,yes,yes,no,yes,no,yes,no,credit card (automatic),9.847563364,185.8072481,1113.993679,4,4,3,4,2,4,4,5
39,40,40,z666770,e8e28d51-c371-4a39-a81c-0c08d2f1f6ba,dublin,pa,bucks,18917,40.37305,-75.2041,2123,suburban,america/new_york,editorial assistant,1.0,72.0,regular high school diploma,full time,50336.5,divorced,male,no,7.790281114,10,1,1,no,two year,yes,no,fiber optic,yes,no,no,yes,yes,no,no,no,no,electronic check,16.04202196,147.2911879,1530.10769,3,4,3,6,4,4,6,2
40,41,41,x711438,3c086e5c-e913-43b6-90d0-30b15b7cd37f,mantoloking,nj,ocean,8738,40.02145,-74.06183,1164,urban,america/new_york,customer service manager,3.0,53.0,regular high school diploma,full time,38211.37,divorced,female,no,38.90533531,12,1,0,no,month-to-month,no,no,fiber optic,yes,no,no,yes,yes,no,yes,no,yes,mailed check,9.179779682,199.9341262,3382.424,5,2,3,3,3,5,4,4
41,42,42,u369541,282e3c6b-40f1-4460-8afa-7f2a1e88f06c,sproul,pa,blair,16682,40.26608,-78.45782,23,suburban,america/new_york,"production designer, theatre/television/film",3.0,53.0,"some college, 1 or more years, no degree",retired,52887.26,married,male,no,6.522328696,16,2,0,no,month-to-month,yes,no,dsl,yes,no,yes,no,no,yes,no,no,yes,electronic check,36.19603,105.9429467,892.8964931,3,3,2,3,5,4,3,3
42,43,43,s896111,e677e4d4-13aa-4fde-a48e-e34b94f422cd,springer,ok,carter,73458,34.35204,-97.25336,895,suburban,america/chicago,analytical chemist,4.0,41.0,master's degree,full time,12003.33,divorced,male,yes,11.1979215,11,1,2,no,two year,yes,no,fiber optic,yes,yes,yes,no,no,yes,yes,yes,no,credit card (automatic),3.924254455,253.7918326,1125.581944,3,3,3,5,1,4,3,4
43,44,44,k227200,d542a248-4059-4008-a6fb-b7bc6e897a1c,homer city,pa,indiana,15748,40.52449,-79.08432,6699,suburban,america/new_york,print production planner,4.0,53.0,"some college, less than 1 year",retired,24090.62,never married,male,no,8.561096928,13,0,0,no,two year,yes,yes,fiber optic,yes,yes,no,no,no,yes,no,yes,yes,electronic check,18.55959629,192.7622768,2016.710031,3,3,3,3,4,3,3,4
44,45,45,e818912,7ac233f7-4a78-4b44-95cf-37cc5c87cc41,new york,ny,new york,10035,40.7955,-73.92968,35743,rural,america/new_york,psychiatrist,0.0,53.0,"some college, 1 or more years, no degree",full time,33186.785,never married,female,yes,13.89466275,6,0,0,no,two year,yes,no,fiber optic,yes,yes,yes,no,no,no,yes,yes,yes,credit card (automatic),8.798394712,243.3707028,1412.736809,4,4,4,4,3,4,3,4
45,46,46,y490834,79eb6124-9f8f-4329-90d1-903bd8bbb43d,sagola,mi,dickinson,49881,46.07835,-88.03348,320,urban,america/menominee,"conservation officer, nature",2.0,44.0,regular high school diploma,full time,33186.785,divorced,female,yes,10.87564115,5,1,0,no,month-to-month,yes,yes,nan,yes,yes,yes,yes,yes,no,yes,yes,yes,electronic check,10.377366,245.4671211,3382.424,3,3,2,2,4,3,5,2
46,47,47,b609739,bb4a7c2d-6524-41d6-b2ed-f7511509ff5b,peoria,il,peoria,61606,40.6998,-89.61143,7870,suburban,america/chicago,broadcast presenter,1.0,23.0,associate's degree,retired,132116.33,divorced,male,yes,12.60910718,11,1,0,no,month-to-month,yes,no,fiber optic,yes,no,yes,yes,no,yes,no,yes,yes,bank transfer(automatic),22.25746016,185.0719404,2384.885909,4,4,5,2,2,4,3,3
47,48,48,e687638,a7cae1b4-3c31-4037-8755-ac692dba6d4c,acme,wa,whatcom,98220,48.68497,-122.19692,861,suburban,america/los_angeles,applications developer,1.0,43.0,regular high school diploma,full time,37358.13,never married,female,yes,9.315148629,11,1,0,no,month-to-month,no,no,fiber optic,yes,yes,yes,yes,yes,yes,no,no,yes,credit card (automatic),9.427146079,194.5713157,1213.940165,4,5,3,4,3,3,4,3
48,49,49,e492264,1df1db19-9bfc-407a-a72c-203fada5b5d3,chattanooga,tn,hamilton,37416,35.10444,-85.17661,15364,rural,america/new_york,"librarian, public",1.0,86.0,"some college, 1 or more years, no degree",part time,26534.16,separated,female,no,8.561161123,11,2,2,no,two year,yes,no,nan,yes,no,no,no,no,no,yes,no,no,bank transfer(automatic),7.760290062,105.6553743,740.010722,3,4,3,2,3,3,3,3
49,50,50,w255321,7abea12e-f7b4-4e5a-be09-6f9fb061f923,harvey,nd,wells,58341,47.77527,-99.85,2589,suburban,america/chicago,financial adviser,2.0,84.0,bachelor's degree,full time,33186.785,married,female,no,12.37711977,14,0,1,no,month-to-month,no,yes,nan,yes,no,no,no,no,yes,no,no,yes,electronic check,11.56938439,92.42950948,897.9716153,3,3,4,3,5,3,3,4
50,51,51,s72442,6711579b-29d7-460e-bc34-10d4d1110a06,goodwater,al,coosa,35072,33.08977,-86.06138,4901,urban,america/chicago,"surveyor, building",2.0,53.0,"9th grade to 12th grade, no diploma",retired,33186.785,separated,female,yes,9.523347957,13,3,0,no,month-to-month,yes,no,dsl,yes,yes,no,no,yes,yes,no,yes,no,bank transfer(automatic),3.343811019,185.545865,1026.387172,2,2,3,4,3,5,2,4
51,52,52,o845020,91dc4423-1f3b-4ff3-bb12-6da4c1deabe8,lexington,nc,davidson,27292,35.73451,-80.20925,39649,urban,america/new_york,"horticulturist, amenity",5.0,68.0,doctorate degree,full time,43820.85,divorced,female,yes,8.546827521,12,1,0,no,month-to-month,yes,no,nan,yes,no,no,no,yes,no,yes,yes,yes,credit card (automatic),7.338869531,188.1878188,1234.244324,2,3,3,5,4,2,3,2
52,53,53,d805597,e0ad6b64-9210-4998-aa82-05b6bc33873f,transylvania,la,east carroll,71286,32.6644,-91.19645,456,suburban,america/chicago,diagnostic radiographer,1.0,59.0,"9th grade to 12th grade, no diploma",student,38391.55,never married,female,no,2.663660525,8,0,0,no,month-to-month,no,no,fiber optic,yes,no,no,no,yes,no,yes,no,yes,electronic check,5.486534225,148.4154058,727.3731845,4,4,4,3,4,2,5,4
53,54,54,r189303,ccb06917-57e1-4595-94f7-4a54b1f0ec9d,jolley,ia,calhoun,50551,42.47954,-94.75105,94,urban,america/chicago,"doctor, general practice",0.0,31.0,regular high school diploma,full time,44137.6,separated,female,yes,8.505759564,6,0,0,yes,one year,no,no,fiber optic,yes,yes,no,no,no,no,yes,no,yes,credit card (automatic),1.55278221,167.3108222,452.8721504,4,4,3,4,4,4,2,3
54,55,55,n142854,d207e3a8-6ae6-4567-9b5a-7ae8d8530d0c,miller,ne,buffalo,68858,40.95947,-99.37702,315,urban,america/chicago,insurance risk surveyor,0.0,51.0,"some college, 1 or more years, no degree",full time,33186.785,widowed,male,yes,7.93962081,11,2,0,no,month-to-month,yes,no,fiber optic,yes,yes,yes,no,yes,no,no,no,yes,mailed check,12.07970325,158.9035122,1296.674543,4,2,4,5,4,3,3,4
55,56,56,f522569,01051fb5-00df-4a7e-a284-b152a0b5ea47,welch,wv,mcdowell,24801,37.44262,-81.57762,4969,suburban,america/new_york,heritage manager,1.0,58.0,"some college, 1 or more years, no degree",full time,62359.91,separated,female,no,12.13605498,11,1,1,no,one year,no,no,dsl,yes,no,no,no,yes,no,yes,no,no,mailed check,13.98666226,131.1822001,1840.628269,3,4,3,6,3,4,5,3
56,57,57,l384793,79c4473e-fd88-46bc-a276-e21783d598eb,alvin,tx,brazoria,77511,29.38147,-95.24205,46869,suburban,america/chicago,legal executive,1.0,73.0,"9th grade to 12th grade, no diploma",full time,82634.86,married,male,yes,9.531952076,11,0,1,no,month-to-month,no,no,dsl,yes,no,no,yes,no,no,no,no,yes,electronic check,9.563362997,116.095233,1324.330108,5,4,3,5,3,3,5,4
57,58,58,c101444,5ed9b266-29a0-489e-88e0-59f9a0b39e49,goleta,ca,santa barbara,93117,34.49127,-120.08222,58431,rural,america/los_angeles,professor emeritus,1.0,33.0,bachelor's degree,full time,15690.25,widowed,female,no,11.31019855,11,0,1,no,two year,no,no,nan,yes,no,yes,no,yes,yes,no,yes,yes,mailed check,6.732948946,142.3770231,958.1397059,4,5,5,5,4,4,4,5
58,59,59,e987442,626e918e-7e34-4b0a-a92c-bd60db4b6173,racine,wi,racine,53403,42.68864,-87.82515,26182,suburban,america/chicago,radio producer,1.0,53.0,regular high school diploma,full time,14568.7,separated,male,yes,11.23344836,15,2,0,no,two year,yes,no,nan,yes,yes,no,no,no,yes,yes,yes,yes,credit card (automatic),15.72071086,221.1610613,3382.424,3,5,3,2,4,5,5,4
59,60,60,l54611,f16fa219-d489-4a93-b261-5dc4dc99e564,chauncey,ga,dodge,31011,32.12693,-83.06218,694,rural,america/new_york,barrister's clerk,0.0,49.0,"9th grade to 12th grade, no diploma",student,33186.785,never married,female,no,9.276154842,9,1,0,no,two year,no,no,fiber optic,yes,no,no,no,yes,no,no,no,yes,electronic check,7.233605493,125.8287767,676.712908,5,5,3,4,4,5,5,4
60,61,61,l85018,97f617e1-f6f2-49c3-b317-542d7bb05d1c,porum,ok,muskogee,74455,35.3619,-95.26371,3093,suburban,america/chicago,"engineer, automotive",1.0,26.0,"some college, 1 or more years, no degree",unemployed,55319.23,never married,female,no,7.273891516,12,1,0,no,one year,no,yes,dsl,yes,no,yes,yes,no,yes,no,yes,yes,mailed check,2.871017037,163.8522919,1086.990308,5,5,4,4,3,4,4,4
61,62,62,o942919,176d7713-b919-41c3-badf-676dc1abbf07,delavan,il,tazewell,61734,40.37342,-89.52646,2765,urban,america/chicago,recruitment consultant,1.0,25.0,bachelor's degree,full time,81831.49,widowed,male,no,39.88390274,10,3,0,no,month-to-month,yes,no,fiber optic,yes,yes,no,no,yes,yes,yes,no,no,electronic check,2.344875382,225.2947474,704.7540406,3,4,3,2,3,4,2,4
62,63,63,i167253,d73797a9-ae43-4fe0-8f43-c7db6456eee8,harveys lake,pa,luzerne,18618,41.37478,-76.03486,3757,rural,america/new_york,commercial horticulturist,0.0,42.0,"some college, 1 or more years, no degree",full time,100076.65,separated,female,yes,8.599583947,14,3,0,no,month-to-month,yes,no,dsl,yes,no,yes,yes,no,no,no,yes,yes,mailed check,7.960490246,150.2616031,1416.444695,5,5,5,4,3,2,4,4
63,64,64,r110564,9b56af1d-ccae-418c-a7e3-f1bc3964d09c,eagar,az,apache,85925,34.088,-109.3232,4938,rural,america/phoenix,"pharmacist, community",1.0,81.0,ged or alternative credential,full time,69965.65,widowed,male,no,5.487498047,15,0,0,no,month-to-month,no,yes,nan,yes,no,no,no,yes,no,no,no,no,mailed check,12.25062113,91.90732298,1095.950634,5,5,5,3,4,3,2,5
